"","model","MAPE","SDMAPE","width","p.in","absmax","meanbias"
"1","mdj ~ amatc",4.53,2.8,6.28,0.33,12,-4.53
"2","mdj ~ msstc",1.73,1.58,4.49,0.6,5,-1.2
"3","mdj ~ pice",3.6,3.48,6.6,0.6,11,-3.47
"4","mdj ~ amatc + msstc",2.4,1.72,6.03,0.67,7,-2.13
"5","mdj ~ amatc + pice",4,3.05,8.4,0.47,10,-3.87
"6","mdj ~ msstc + pice",2.07,2.25,6.89,0.8,7,-1.67
"7","mdj ~ amatc + msstc + pice",2.2,1.93,8.33,0.87,6,-1.93
